alt,,calmness,joy,love,hope,like,anticipation
time_series_emotions_pos_forecast_14_7_mae_rmsprop_errors.csv,time_series_emotions_pos_forecast_14_7_mae_sgd_errors.csv,-,-,-,-,-,-
time_series_emotions_pos_forecast_14_7_mse_rmsprop_errors.csv,time_series_emotions_pos_forecast_14_7_mae_sgd_errors.csv,-,-,-,-,-,-
time_series_emotions_pos_forecast_14_7_mse_sgd_errors.csv,time_series_emotions_pos_forecast_14_7_mae_sgd_errors.csv,-,-,-,-,-,-
time_series_emotions_pos_forecast_14_7_prophet_errors.csv,time_series_emotions_pos_forecast_14_7_mae_sgd_errors.csv,-,-,-,-,-,-
time_series_emotions_pos_forecast_14_7_var_p12_errors.csv,time_series_emotions_pos_forecast_14_7_mae_sgd_errors.csv,-,-,-,-,-,-
time_series_emotions_pos_forecast_21_7_arima_p19_errors.csv,time_series_emotions_pos_forecast_14_7_mae_sgd_errors.csv,small,-,-,-,-,-
time_series_emotions_pos_forecast_21_7_mae_rmsprop_errors.csv,time_series_emotions_pos_forecast_14_7_mae_sgd_errors.csv,-,-,-,-,-,-
time_series_emotions_pos_forecast_21_7_mae_sgd_errors.csv,time_series_emotions_pos_forecast_14_7_mae_sgd_errors.csv,-,-,-,-,negligible,-
time_series_emotions_pos_forecast_21_7_mse_rmsprop_errors.csv,time_series_emotions_pos_forecast_14_7_mae_sgd_errors.csv,-,-,-,-,-,-
time_series_emotions_pos_forecast_21_7_mse_sgd_errors.csv,time_series_emotions_pos_forecast_14_7_mae_sgd_errors.csv,-,-,-,-,-,-
time_series_emotions_pos_forecast_21_7_prophet_errors.csv,time_series_emotions_pos_forecast_14_7_mae_sgd_errors.csv,-,-,-,-,-,-
time_series_emotions_pos_forecast_21_7_var_p19_errors.csv,time_series_emotions_pos_forecast_14_7_mae_sgd_errors.csv,-,-,-,-,-,-
time_series_emotions_pos_forecast_7_7_arima_p5_errors.csv,time_series_emotions_pos_forecast_14_7_mae_sgd_errors.csv,-,-,-,-,-,-
time_series_emotions_pos_forecast_7_7_mae_rmsprop_errors.csv,time_series_emotions_pos_forecast_14_7_mae_sgd_errors.csv,-,-,-,-,-,-
time_series_emotions_pos_forecast_7_7_mae_sgd_errors.csv,time_series_emotions_pos_forecast_14_7_mae_sgd_errors.csv,-,-,-,-,-,-
time_series_emotions_pos_forecast_7_7_mse_rmsprop_errors.csv,time_series_emotions_pos_forecast_14_7_mae_sgd_errors.csv,-,-,-,-,-,-
time_series_emotions_pos_forecast_7_7_mse_sgd_errors.csv,time_series_emotions_pos_forecast_14_7_mae_sgd_errors.csv,-,-,-,-,-,-
time_series_emotions_pos_forecast_7_7_prophet_errors.csv,time_series_emotions_pos_forecast_14_7_mae_sgd_errors.csv,-,-,-,-,-,-
time_series_emotions_pos_forecast_7_7_var_p5_errors.csv,time_series_emotions_pos_forecast_14_7_mae_sgd_errors.csv,-,-,-,-,-,-
time_series_emotions_pos_forecast_14_7_arima_p12_errors.csv,time_series_emotions_pos_forecast_14_7_mse_rmsprop_errors.csv,small,-,-,-,-,-
time_series_emotions_pos_forecast_14_7_mae_rmsprop_errors.csv,time_series_emotions_pos_forecast_14_7_mse_rmsprop_errors.csv,-,small,-,-,-,-
time_series_emotions_pos_forecast_14_7_mae_sgd_errors.csv,time_series_emotions_pos_forecast_14_7_mse_rmsprop_errors.csv,-,small,small,-,-,-
time_series_emotions_pos_forecast_14_7_mse_sgd_errors.csv,time_series_emotions_pos_forecast_14_7_mse_rmsprop_errors.csv,small,small,small,-,-,-
time_series_emotions_pos_forecast_14_7_prophet_errors.csv,time_series_emotions_pos_forecast_14_7_mse_rmsprop_errors.csv,small,-,-,-,-,-
time_series_emotions_pos_forecast_14_7_var_p12_errors.csv,time_series_emotions_pos_forecast_14_7_mse_rmsprop_errors.csv,-,-,-,-,-,-
time_series_emotions_pos_forecast_21_7_arima_p19_errors.csv,time_series_emotions_pos_forecast_14_7_mse_rmsprop_errors.csv,small,-,small,-,-,-
time_series_emotions_pos_forecast_21_7_mae_rmsprop_errors.csv,time_series_emotions_pos_forecast_14_7_mse_rmsprop_errors.csv,-,small,-,-,negligible,negligible
time_series_emotions_pos_forecast_21_7_mae_sgd_errors.csv,time_series_emotions_pos_forecast_14_7_mse_rmsprop_errors.csv,-,small,small,-,-,-
time_series_emotions_pos_forecast_21_7_mse_rmsprop_errors.csv,time_series_emotions_pos_forecast_14_7_mse_rmsprop_errors.csv,-,-,-,-,-,-
time_series_emotions_pos_forecast_21_7_mse_sgd_errors.csv,time_series_emotions_pos_forecast_14_7_mse_rmsprop_errors.csv,-,small,small,-,-,-
time_series_emotions_pos_forecast_21_7_prophet_errors.csv,time_series_emotions_pos_forecast_14_7_mse_rmsprop_errors.csv,-,-,-,-,-,-
time_series_emotions_pos_forecast_21_7_var_p19_errors.csv,time_series_emotions_pos_forecast_14_7_mse_rmsprop_errors.csv,-,-,-,-,-,-
time_series_emotions_pos_forecast_7_7_arima_p5_errors.csv,time_series_emotions_pos_forecast_14_7_mse_rmsprop_errors.csv,-,-,-,-,-,-
time_series_emotions_pos_forecast_7_7_mae_rmsprop_errors.csv,time_series_emotions_pos_forecast_14_7_mse_rmsprop_errors.csv,-,-,-,-,-,-
time_series_emotions_pos_forecast_7_7_mae_sgd_errors.csv,time_series_emotions_pos_forecast_14_7_mse_rmsprop_errors.csv,-,small,small,negligible,-,-
time_series_emotions_pos_forecast_7_7_mse_rmsprop_errors.csv,time_series_emotions_pos_forecast_14_7_mse_rmsprop_errors.csv,-,-,-,-,-,-
time_series_emotions_pos_forecast_7_7_mse_sgd_errors.csv,time_series_emotions_pos_forecast_14_7_mse_rmsprop_errors.csv,-,small,-,-,-,-
time_series_emotions_pos_forecast_7_7_prophet_errors.csv,time_series_emotions_pos_forecast_14_7_mse_rmsprop_errors.csv,-,-,-,-,-,-
time_series_emotions_pos_forecast_7_7_var_p5_errors.csv,time_series_emotions_pos_forecast_14_7_mse_rmsprop_errors.csv,small,-,small,-,-,-
time_series_emotions_pos_forecast_14_7_arima_p12_errors.csv,time_series_emotions_pos_forecast_14_7_mse_sgd_errors.csv,-,-,-,-,-,-
time_series_emotions_pos_forecast_14_7_mae_rmsprop_errors.csv,time_series_emotions_pos_forecast_14_7_mse_sgd_errors.csv,-,-,-,-,-,-
time_series_emotions_pos_forecast_14_7_mae_sgd_errors.csv,time_series_emotions_pos_forecast_14_7_mse_sgd_errors.csv,-,-,-,-,-,-
time_series_emotions_pos_forecast_14_7_mse_rmsprop_errors.csv,time_series_emotions_pos_forecast_14_7_mse_sgd_errors.csv,-,-,-,-,-,-
time_series_emotions_pos_forecast_14_7_prophet_errors.csv,time_series_emotions_pos_forecast_14_7_mse_sgd_errors.csv,-,-,-,-,-,-
time_series_emotions_pos_forecast_14_7_var_p12_errors.csv,time_series_emotions_pos_forecast_14_7_mse_sgd_errors.csv,-,-,-,-,-,-
time_series_emotions_pos_forecast_21_7_arima_p19_errors.csv,time_series_emotions_pos_forecast_14_7_mse_sgd_errors.csv,small,-,-,-,-,-
time_series_emotions_pos_forecast_21_7_mae_rmsprop_errors.csv,time_series_emotions_pos_forecast_14_7_mse_sgd_errors.csv,-,-,-,-,-,-
time_series_emotions_pos_forecast_21_7_mae_sgd_errors.csv,time_series_emotions_pos_forecast_14_7_mse_sgd_errors.csv,-,-,-,-,-,-
time_series_emotions_pos_forecast_21_7_mse_rmsprop_errors.csv,time_series_emotions_pos_forecast_14_7_mse_sgd_errors.csv,-,-,-,-,-,-
time_series_emotions_pos_forecast_21_7_mse_sgd_errors.csv,time_series_emotions_pos_forecast_14_7_mse_sgd_errors.csv,-,-,-,-,-,-
time_series_emotions_pos_forecast_21_7_prophet_errors.csv,time_series_emotions_pos_forecast_14_7_mse_sgd_errors.csv,-,-,-,-,-,-
time_series_emotions_pos_forecast_21_7_var_p19_errors.csv,time_series_emotions_pos_forecast_14_7_mse_sgd_errors.csv,-,-,-,-,-,-
time_series_emotions_pos_forecast_7_7_arima_p5_errors.csv,time_series_emotions_pos_forecast_14_7_mse_sgd_errors.csv,-,-,-,-,-,-
time_series_emotions_pos_forecast_7_7_mae_rmsprop_errors.csv,time_series_emotions_pos_forecast_14_7_mse_sgd_errors.csv,-,-,-,-,-,-
time_series_emotions_pos_forecast_7_7_mae_sgd_errors.csv,time_series_emotions_pos_forecast_14_7_mse_sgd_errors.csv,-,-,-,-,-,-
time_series_emotions_pos_forecast_7_7_mse_rmsprop_errors.csv,time_series_emotions_pos_forecast_14_7_mse_sgd_errors.csv,-,-,-,-,-,-
time_series_emotions_pos_forecast_7_7_mse_sgd_errors.csv,time_series_emotions_pos_forecast_14_7_mse_sgd_errors.csv,-,-,-,-,-,-
time_series_emotions_pos_forecast_7_7_prophet_errors.csv,time_series_emotions_pos_forecast_14_7_mse_sgd_errors.csv,-,-,-,-,-,-
time_series_emotions_pos_forecast_7_7_var_p5_errors.csv,time_series_emotions_pos_forecast_14_7_mse_sgd_errors.csv,-,-,-,-,-,-
time_series_emotions_pos_forecast_14_7_arima_p12_errors.csv,time_series_emotions_pos_forecast_14_7_prophet_errors.csv,negligible,negligible,small,small,small,small
time_series_emotions_pos_forecast_14_7_mae_rmsprop_errors.csv,time_series_emotions_pos_forecast_14_7_prophet_errors.csv,-,-,-,small,medium,medium
time_series_emotions_pos_forecast_14_7_mae_sgd_errors.csv,time_series_emotions_pos_forecast_14_7_prophet_errors.csv,-,small,small,small,medium,medium
time_series_emotions_pos_forecast_14_7_mse_rmsprop_errors.csv,time_series_emotions_pos_forecast_14_7_prophet_errors.csv,-,-,-,small,medium,medium
time_series_emotions_pos_forecast_14_7_mse_sgd_errors.csv,time_series_emotions_pos_forecast_14_7_prophet_errors.csv,-,-,small,small,medium,medium
time_series_emotions_pos_forecast_14_7_var_p12_errors.csv,time_series_emotions_pos_forecast_14_7_prophet_errors.csv,-,-,-,-,-,-
time_series_emotions_pos_forecast_21_7_arima_p19_errors.csv,time_series_emotions_pos_forecast_14_7_prophet_errors.csv,negligible,-,small,small,small,small
time_series_emotions_pos_forecast_21_7_mae_rmsprop_errors.csv,time_series_emotions_pos_forecast_14_7_prophet_errors.csv,-,-,-,small,medium,medium
time_series_emotions_pos_forecast_21_7_mae_sgd_errors.csv,time_series_emotions_pos_forecast_14_7_prophet_errors.csv,-,-,-,small,medium,medium
time_series_emotions_pos_forecast_21_7_mse_rmsprop_errors.csv,time_series_emotions_pos_forecast_14_7_prophet_errors.csv,-,-,-,-,small,small
time_series_emotions_pos_forecast_21_7_mse_sgd_errors.csv,time_series_emotions_pos_forecast_14_7_prophet_errors.csv,-,-,small,small,medium,medium
time_series_emotions_pos_forecast_21_7_prophet_errors.csv,time_series_emotions_pos_forecast_14_7_prophet_errors.csv,-,-,-,-,-,-
time_series_emotions_pos_forecast_21_7_var_p19_errors.csv,time_series_emotions_pos_forecast_14_7_prophet_errors.csv,-,-,-,-,-,-
time_series_emotions_pos_forecast_7_7_arima_p5_errors.csv,time_series_emotions_pos_forecast_14_7_prophet_errors.csv,-,-,-,-,-,negligible
time_series_emotions_pos_forecast_7_7_mae_rmsprop_errors.csv,time_series_emotions_pos_forecast_14_7_prophet_errors.csv,-,-,-,small,medium,medium
time_series_emotions_pos_forecast_7_7_mae_sgd_errors.csv,time_series_emotions_pos_forecast_14_7_prophet_errors.csv,-,small,small,small,medium,medium
time_series_emotions_pos_forecast_7_7_mse_rmsprop_errors.csv,time_series_emotions_pos_forecast_14_7_prophet_errors.csv,-,-,-,small,medium,medium
time_series_emotions_pos_forecast_7_7_mse_sgd_errors.csv,time_series_emotions_pos_forecast_14_7_prophet_errors.csv,-,-,-,small,medium,medium
time_series_emotions_pos_forecast_7_7_prophet_errors.csv,time_series_emotions_pos_forecast_14_7_prophet_errors.csv,-,-,-,-,-,-
time_series_emotions_pos_forecast_7_7_var_p5_errors.csv,time_series_emotions_pos_forecast_14_7_prophet_errors.csv,-,small,small,small,small,small
time_series_emotions_pos_forecast_14_7_arima_p12_errors.csv,time_series_emotions_pos_forecast_14_7_var_p12_errors.csv,medium,small,small,small,small,small
time_series_emotions_pos_forecast_14_7_mae_rmsprop_errors.csv,time_series_emotions_pos_forecast_14_7_var_p12_errors.csv,small,medium,small,medium,medium,medium
time_series_emotions_pos_forecast_14_7_mae_sgd_errors.csv,time_series_emotions_pos_forecast_14_7_var_p12_errors.csv,small,medium,medium,medium,medium,medium
time_series_emotions_pos_forecast_14_7_mse_rmsprop_errors.csv,time_series_emotions_pos_forecast_14_7_var_p12_errors.csv,-,small,small,medium,medium,medium
time_series_emotions_pos_forecast_14_7_mse_sgd_errors.csv,time_series_emotions_pos_forecast_14_7_var_p12_errors.csv,small,medium,small,medium,medium,medium
time_series_emotions_pos_forecast_14_7_prophet_errors.csv,time_series_emotions_pos_forecast_14_7_var_p12_errors.csv,small,small,small,small,small,small
time_series_emotions_pos_forecast_21_7_arima_p19_errors.csv,time_series_emotions_pos_forecast_14_7_var_p12_errors.csv,medium,small,medium,medium,small,medium
time_series_emotions_pos_forecast_21_7_mae_rmsprop_errors.csv,time_series_emotions_pos_forecast_14_7_var_p12_errors.csv,small,medium,small,medium,medium,medium
time_series_emotions_pos_forecast_21_7_mae_sgd_errors.csv,time_series_emotions_pos_forecast_14_7_var_p12_errors.csv,small,medium,medium,medium,medium,medium
time_series_emotions_pos_forecast_21_7_mse_rmsprop_errors.csv,time_series_emotions_pos_forecast_14_7_var_p12_errors.csv,-,small,small,medium,medium,medium
time_series_emotions_pos_forecast_21_7_mse_sgd_errors.csv,time_series_emotions_pos_forecast_14_7_var_p12_errors.csv,small,medium,medium,medium,medium,medium
time_series_emotions_pos_forecast_21_7_prophet_errors.csv,time_series_emotions_pos_forecast_14_7_var_p12_errors.csv,small,small,small,small,small,small
time_series_emotions_pos_forecast_21_7_var_p19_errors.csv,time_series_emotions_pos_forecast_14_7_var_p12_errors.csv,small,small,small,small,negligible,small
time_series_emotions_pos_forecast_7_7_arima_p5_errors.csv,time_series_emotions_pos_forecast_14_7_var_p12_errors.csv,small,small,small,small,small,small
time_series_emotions_pos_forecast_7_7_mae_rmsprop_errors.csv,time_series_emotions_pos_forecast_14_7_var_p12_errors.csv,-,small,-,medium,medium,medium
time_series_emotions_pos_forecast_7_7_mae_sgd_errors.csv,time_series_emotions_pos_forecast_14_7_var_p12_errors.csv,small,medium,small,medium,medium,medium
time_series_emotions_pos_forecast_7_7_mse_rmsprop_errors.csv,time_series_emotions_pos_forecast_14_7_var_p12_errors.csv,-,small,small,medium,medium,medium
time_series_emotions_pos_forecast_7_7_mse_sgd_errors.csv,time_series_emotions_pos_forecast_14_7_var_p12_errors.csv,small,medium,small,medium,medium,medium
time_series_emotions_pos_forecast_7_7_prophet_errors.csv,time_series_emotions_pos_forecast_14_7_var_p12_errors.csv,small,negligible,small,small,small,small
time_series_emotions_pos_forecast_7_7_var_p5_errors.csv,time_series_emotions_pos_forecast_14_7_var_p12_errors.csv,medium,medium,medium,medium,small,small
time_series_emotions_pos_forecast_14_7_arima_p12_errors.csv,time_series_emotions_pos_forecast_21_7_arima_p19_errors.csv,-,-,-,-,-,-
time_series_emotions_pos_forecast_14_7_mae_rmsprop_errors.csv,time_series_emotions_pos_forecast_21_7_arima_p19_errors.csv,-,-,-,negligible,small,small
time_series_emotions_pos_forecast_14_7_mae_sgd_errors.csv,time_series_emotions_pos_forecast_21_7_arima_p19_errors.csv,-,-,-,small,small,small
time_series_emotions_pos_forecast_14_7_mse_rmsprop_errors.csv,time_series_emotions_pos_forecast_21_7_arima_p19_errors.csv,-,-,-,-,small,small
time_series_emotions_pos_forecast_14_7_mse_sgd_errors.csv,time_series_emotions_pos_forecast_21_7_arima_p19_errors.csv,-,-,-,small,small,small
time_series_emotions_pos_forecast_14_7_prophet_errors.csv,time_series_emotions_pos_forecast_21_7_arima_p19_errors.csv,-,-,-,-,-,-
time_series_emotions_pos_forecast_14_7_var_p12_errors.csv,time_series_emotions_pos_forecast_21_7_arima_p19_errors.csv,-,-,-,-,-,-
time_series_emotions_pos_forecast_21_7_mae_rmsprop_errors.csv,time_series_emotions_pos_forecast_21_7_arima_p19_errors.csv,-,-,-,small,small,small
time_series_emotions_pos_forecast_21_7_mae_sgd_errors.csv,time_series_emotions_pos_forecast_21_7_arima_p19_errors.csv,-,-,-,small,small,-
time_series_emotions_pos_forecast_21_7_mse_rmsprop_errors.csv,time_series_emotions_pos_forecast_21_7_arima_p19_errors.csv,-,-,-,-,small,-
time_series_emotions_pos_forecast_21_7_mse_sgd_errors.csv,time_series_emotions_pos_forecast_21_7_arima_p19_errors.csv,-,-,-,small,small,small
time_series_emotions_pos_forecast_21_7_prophet_errors.csv,time_series_emotions_pos_forecast_21_7_arima_p19_errors.csv,-,-,-,-,-,-
time_series_emotions_pos_forecast_21_7_var_p19_errors.csv,time_series_emotions_pos_forecast_21_7_arima_p19_errors.csv,-,-,-,-,-,-
time_series_emotions_pos_forecast_7_7_arima_p5_errors.csv,time_series_emotions_pos_forecast_21_7_arima_p19_errors.csv,-,-,-,-,-,-
time_series_emotions_pos_forecast_7_7_mae_rmsprop_errors.csv,time_series_emotions_pos_forecast_21_7_arima_p19_errors.csv,-,-,-,negligible,small,small
time_series_emotions_pos_forecast_7_7_mae_sgd_errors.csv,time_series_emotions_pos_forecast_21_7_arima_p19_errors.csv,-,-,-,small,small,small
time_series_emotions_pos_forecast_7_7_mse_rmsprop_errors.csv,time_series_emotions_pos_forecast_21_7_arima_p19_errors.csv,-,-,-,small,small,small
time_series_emotions_pos_forecast_7_7_mse_sgd_errors.csv,time_series_emotions_pos_forecast_21_7_arima_p19_errors.csv,-,-,-,small,small,negligible
time_series_emotions_pos_forecast_7_7_prophet_errors.csv,time_series_emotions_pos_forecast_21_7_arima_p19_errors.csv,-,-,-,-,-,-
time_series_emotions_pos_forecast_7_7_var_p5_errors.csv,time_series_emotions_pos_forecast_21_7_arima_p19_errors.csv,-,-,-,-,-,-
time_series_emotions_pos_forecast_14_7_arima_p12_errors.csv,time_series_emotions_pos_forecast_21_7_mae_rmsprop_errors.csv,small,-,-,-,-,-
time_series_emotions_pos_forecast_14_7_mae_rmsprop_errors.csv,time_series_emotions_pos_forecast_21_7_mae_rmsprop_errors.csv,-,-,-,-,-,-
time_series_emotions_pos_forecast_14_7_mae_sgd_errors.csv,time_series_emotions_pos_forecast_21_7_mae_rmsprop_errors.csv,-,-,small,-,-,-
time_series_emotions_pos_forecast_14_7_mse_rmsprop_errors.csv,time_series_emotions_pos_forecast_21_7_mae_rmsprop_errors.csv,-,-,-,-,-,-
time_series_emotions_pos_forecast_14_7_mse_sgd_errors.csv,time_series_emotions_pos_forecast_21_7_mae_rmsprop_errors.csv,-,-,-,-,-,-
time_series_emotions_pos_forecast_14_7_prophet_errors.csv,time_series_emotions_pos_forecast_21_7_mae_rmsprop_errors.csv,-,-,-,-,-,-
time_series_emotions_pos_forecast_14_7_var_p12_errors.csv,time_series_emotions_pos_forecast_21_7_mae_rmsprop_errors.csv,-,-,-,-,-,-
time_series_emotions_pos_forecast_21_7_arima_p19_errors.csv,time_series_emotions_pos_forecast_21_7_mae_rmsprop_errors.csv,small,-,small,-,-,-
time_series_emotions_pos_forecast_21_7_mae_sgd_errors.csv,time_series_emotions_pos_forecast_21_7_mae_rmsprop_errors.csv,-,-,-,-,-,-
time_series_emotions_pos_forecast_21_7_mse_rmsprop_errors.csv,time_series_emotions_pos_forecast_21_7_mae_rmsprop_errors.csv,-,-,-,-,-,-
time_series_emotions_pos_forecast_21_7_mse_sgd_errors.csv,time_series_emotions_pos_forecast_21_7_mae_rmsprop_errors.csv,-,-,small,-,-,-
time_series_emotions_pos_forecast_21_7_prophet_errors.csv,time_series_emotions_pos_forecast_21_7_mae_rmsprop_errors.csv,-,-,-,-,-,-
time_series_emotions_pos_forecast_21_7_var_p19_errors.csv,time_series_emotions_pos_forecast_21_7_mae_rmsprop_errors.csv,-,-,-,-,-,-
time_series_emotions_pos_forecast_7_7_arima_p5_errors.csv,time_series_emotions_pos_forecast_21_7_mae_rmsprop_errors.csv,-,-,-,-,-,-
time_series_emotions_pos_forecast_7_7_mae_rmsprop_errors.csv,time_series_emotions_pos_forecast_21_7_mae_rmsprop_errors.csv,-,-,-,-,-,-
time_series_emotions_pos_forecast_7_7_mae_sgd_errors.csv,time_series_emotions_pos_forecast_21_7_mae_rmsprop_errors.csv,-,-,-,-,-,-
time_series_emotions_pos_forecast_7_7_mse_rmsprop_errors.csv,time_series_emotions_pos_forecast_21_7_mae_rmsprop_errors.csv,-,-,-,-,-,-
time_series_emotions_pos_forecast_7_7_mse_sgd_errors.csv,time_series_emotions_pos_forecast_21_7_mae_rmsprop_errors.csv,-,-,-,-,-,-
time_series_emotions_pos_forecast_7_7_prophet_errors.csv,time_series_emotions_pos_forecast_21_7_mae_rmsprop_errors.csv,-,-,-,-,-,-
time_series_emotions_pos_forecast_7_7_var_p5_errors.csv,time_series_emotions_pos_forecast_21_7_mae_rmsprop_errors.csv,small,-,-,-,-,-
time_series_emotions_pos_forecast_14_7_arima_p12_errors.csv,time_series_emotions_pos_forecast_21_7_mae_sgd_errors.csv,small,-,-,-,-,-
time_series_emotions_pos_forecast_14_7_mae_rmsprop_errors.csv,time_series_emotions_pos_forecast_21_7_mae_sgd_errors.csv,-,-,-,-,-,-
